,Source,Likes,Text,Image,Retweets
319,Twitter Web App,0,"RT @Feniks82948212: Canada, Ottawa, Parliament Hill;
#FreedomConvoy2020 
https://t.co/NVbGZBLgus https://t.co/HzGrKguGmX",https://pbs.twimg.com/media/FKR8nIlWQAAlFtN.jpg,0
320,Twitter Web App,1,"Live Stream - Freedom Convoy Rally Truckers Ottawa 2022
https://t.co/dk9s3yc1tv https://t.co/7OIwQJL5NA",https://pbs.twimg.com/media/FKR-pbzXsAMuLMB.jpg,1
321,Twitter for iPhone,0,#TruckerConvoy #FreedomConvoy #Ottawa TRUE Trucker Demands Convoying to Ottawa for the 2022 Freedom Convoy https://t.co/fTFLxj01ma via @YouTube https://t.co/ojlDb4AH7K,https://pbs.twimg.com/media/FKR-REXWYAYglK9.jpg,0
322,Twitter Web App,2,"22Q.8 - Sheila Lunatera - Seems to be the Happiest person in Canada today with the Freedom Convoy 2022!
@SLunatera @Slunatera_ @SLunateraa @SunnyLeone @norafatehi https://t.co/4lCO3aW2fP",https://pbs.twimg.com/media/FKR9av8VUAU-xpm.jpg,2
323,Twitter Web App,0,"RT @Feniks82948212: Canada, Ottawa, Parliament Hill;
#FreedomConvoy2020 
https://t.co/NVbGZBLgus https://t.co/HzGrKguGmX",https://pbs.twimg.com/media/FKR8nIlWQAAlFtN.jpg,0
324,Twitter for Android,0,@FLyMachabert World Freedom Convoy 2022 ! https://t.co/srdgqZEfeq,https://pbs.twimg.com/media/FKR9TZ7XIAgG1m_.jpg,0
325,Twitter for Android,0,World Freedom Convoy 2022 ! https://t.co/uUCB6vI4J9,https://pbs.twimg.com/media/FKR87N-XIAcQSKc.jpg,0
326,Twitter for Android,0,RT @BruvverEccles: Eccles is saved: Freedom convoy approaches Rome https://t.co/Hq1B5I36u0 https://t.co/dyi0cJQhHT,https://pbs.twimg.com/media/FKREbbxWUAEXaon.jpg,0
327,Twitter for Android,2,Getting quite loud here in Ottawa..freedom convoy truckers 2022 https://t.co/6qryPQg1rE,https://pbs.twimg.com/media/FKR8ruhX0AQLaSK.jpg,2
328,Twitter Web App,17,"Canada, Ottawa, Parliament Hill;
#FreedomConvoy2020 
https://t.co/NVbGZBLgus https://t.co/HzGrKguGmX",https://pbs.twimg.com/media/FKR8nIlWQAAlFtN.jpg,17
329,Twitter Web App,4,"Proud Member Of A Small Fringe Minority With Unacceptable Views Truckers Convoy , Freedom convoy 2022 truckers 
https://t.co/fSfgbQiUmM
#freedomconvoy22 #FreedomTruckers #freedomconvoy #CanadaTruckers https://t.co/1hJUaKRnBf",https://pbs.twimg.com/media/FKR6z5rWUAosfNT.jpg,4
330,Twitter for iPhone,0,"RT @radio_hex: ☑️ Canada 🇨🇦

💟 Freedom Convoy 2022 
#TruckersConvoy #TruckersForFreedom #CanadaTruckers https://t.co/xeU9Ux3X9A",https://pbs.twimg.com/media/FKP8I4zXMAEJLsE.jpg,0
331,Twitter for Android,0,"@dgardner @acoyne Gee I wonder how people get that idea
 Nova Scotia bans gatherings along highway in support of trucker freedom convoy https://t.co/TrEM78ltij https://t.co/p1kogSBDHl",https://pbs.twimg.com/media/FKPr9ABXoAIWgqR.jpg,0
332,Twitter for Android,0,Update on the size of the Freedom Convoy 2022. https://t.co/17StmTL95B,https://pbs.twimg.com/media/FKR5iViX0AE8WIg.jpg,0
333,Twitter for Android,6,"🔹️ BREAKING NEWS  !!!!

🛑 STOP THE PRESS  !!!!

Wasn't this just around 2 million just a few days ago ?? ( check out thread) 

What's happening??

#TruckersForFreedom

https://t.co/KcOOH0WSPK https://t.co/zRimv0XOoV https://t.co/BpoMDcNk7C",https://pbs.twimg.com/media/FKR5Rj2XEAYBrNh.jpg,6
334,Twitter for Android,0,"@kinsellawarren Looks like that flag has a new home to go to 

 Nova Scotia bans gatherings along highway in support of trucker freedom convoy https://t.co/TrEM78ltij https://t.co/p1kogSBDHl",https://pbs.twimg.com/media/FKPr9ABXoAIWgqR.jpg,0
335,Twitter Web App,0,"What kind of a government criminalizes showing support for a peaceful popular movement?!

I don't recognize this country anymore.

Never forget this name:

The ""Honourable"" John Lohr

https://t.co/iZwSlifqLT

@JohnLohrPC 

https://t.co/kluugeWKaU https://t.co/qJBY4z3ucA",https://pbs.twimg.com/media/FKR2D3SXsAARfRB.png,0
336,TweetDeck Web App,40,#ICYMI @Harry__Faulkner recaps Day 6 of the #TrucksforFreedom convoy: https://t.co/SoWaYq24UM #cdnpoli https://t.co/cLqD3TUmkg,https://pbs.twimg.com/media/FKP6Un8WUAAcbPA.jpg,40
337,Twitter Web App,0,Proudly donated yesterday to GoFundMe's #FreedomCovoy2022. Who's joining me? https://t.co/ghEpyoyxjp https://t.co/1eCq5pq35x,https://pbs.twimg.com/media/FKRzJsJVkAIJSyZ.jpg,0
338,Twitter for iPhone,0,RT @Lady_Pie45: Freedom Convoy 2022 https://t.co/4iRwEaNDxD,https://pbs.twimg.com/media/FKJDDjiXIAUpFQf.jpg,0
339,Twitter Web App,0,"@OttawaCitizen Ottawa Canada Elgin St. January 28, 2022.

Freedom Convoy. https://t.co/J3Cmt09tTp",https://pbs.twimg.com/media/FKRxJIpXsAkJVGK.jpg,0
